price,dateSold,bathrooms,bedrooms,livingArea,homeType,lotAreaValue,zipcode,elem,middle,high,Year built
815000,Q3_2020,4.0,5.0,3000.0,SINGLE_FAMILY,9370.0,20901,forest knolls elementary,eastern middle,northwood high,71.0
815000,Q1_2021,2.0,3.0,2194.0,SINGLE_FAMILY,13038.0000102,20815,bethesda elementary,thomas w. pyle middle,albert einstein high,62.0
815000,Q1_2021,3.0,4.0,3006.0,SINGLE_FAMILY,6104.0,20817,ashburton elementary,thomas w. pyle middle,walter johnson high,49.0
815000,Q2_2021,4.0,5.0,3585.0,SINGLE_FAMILY,7624.0,20895,flora m. singer elementary,sligo middle,albert einstein high,29.0
815000,Q2_2021,5.0,6.0,3027.0,SINGLE_FAMILY,7746.0,20910,east silver spring elementary,sligo middle,northwood high,74.0
815000,Q3_2020,5.0,5.0,2466.0,TOWNHOUSE,2538.0,20910,rosemary hills elementary,a. mario loiederman middle,northwood high,13.0
815000,Q1_2021,4.0,5.0,2940.0,SINGLE_FAMILY,87120.0,20878,dufief elementary,lakelands park middle,quince orchard high,78.0
815000,Q2_2021,3.0,4.0,2843.0,SINGLE_FAMILY,13241.9999844,20850,beall elementary,julius west middle,richard montgomery high,55.0
815000,Q3_2020,3.0,4.0,3476.0,SINGLE_FAMILY,7150.0,20906,strathmore elementary,argyle middle,john f. kennedy high,8.0
815000,Q3_2021,4.0,4.0,3332.0,SINGLE_FAMILY,68389.00001604,20882,woodfield elementary,hallie wells middle,clarksburg high,24.0
815000,Q1_2021,4.0,5.0,3310.0,SINGLE_FAMILY,448668.00000000006,20882,laytonsville elementary,rosa m. parks middle,watkins mill high,33.0
815000,Q1_2021,5.0,5.0,4800.0,SINGLE_FAMILY,18175.00001328,20878,thurgood marshall elementary,lakelands park middle,quince orchard high,20.0
815000,Q2_2021,4.0,4.0,2408.0,SINGLE_FAMILY,10218.0,20878,thurgood marshall elementary,lakelands park middle,quince orchard high,34.0
815000,Q1_2021,3.0,4.0,3185.0,SINGLE_FAMILY,20038.00001148,20902,forest knolls elementary,sligo middle,springbrook high,35.0
815000,Q2_2021,4.0,4.0,5194.0,SINGLE_FAMILY,49914.000017640006,20872,woodfield elementary,hallie wells middle,clarksburg high,23.0
815000,Q3_2021,4.0,4.0,3788.0,SINGLE_FAMILY,10393.0,20878,dufief elementary,lakelands park middle,quince orchard high,32.0
815000,Q2_2021,4.0,5.0,4442.0,SINGLE_FAMILY,5969.0,20878,diamond elementary,lakelands park middle,quince orchard high,19.0
815000,Q3_2021,5.0,5.0,5252.0,SINGLE_FAMILY,11014.9999938,20874,spark m. matsunaga elementary,kingsview middle,northwest high,16.0
815000,Q2_2021,3.0,4.0,3577.0,SINGLE_FAMILY,8875.0,20878,dufief elementary,lakelands park middle,quince orchard high,20.0
815000,Q2_2021,3.0,4.0,2294.0,SINGLE_FAMILY,13152.99997836,20850,stone mill elementary,lakelands park middle,quince orchard high,35.0
815000,Q2_2021,4.0,6.0,2889.0,SINGLE_FAMILY,18874.99997856,20850,lakewood elementary,julius west middle,richard montgomery high,48.0
815000,Q2_2021,4.0,5.0,2436.0,SINGLE_FAMILY,11088.99998316,20878,dufief elementary,lakelands park middle,quince orchard high,42.0
